Document #,Store#,PO#,PO Date,Address1,City,State,Zip,Vendor #,Ship Date,Qty Sold,Unit of Measurement,Unit Price,UPC,Description,Document Total
107625,00003,POTest_107625_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100415,1,EA,6.5,726404010802,Small Fruits--Berries etc.,510.65
107968,00003,POTest_107968_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100416,1,EA,7.25,726404010925,1 Gallon Evergreen,579.35
108002,00003,POTest_108002_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100417,2,EA,7.25,726404010970,1 Gallon Evergreen,756.85
107625,00003,POTest_107625_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100415,6,EA,8.15,726404011021,1 Gallon Shrub,510.65
108002,00003,POTest_108002_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100417,1,EA,8.15,726404011311,1 Gallon Shrub,756.85
107456,00003,POTest_107456_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100413,1,EA,8.15,726404011335,1 Gallon Shrub,508.25
107625,00003,POTest_107625_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100415,4,EA,8.15,726404011380,1 Gallon Shrub,510.65
107968,00003,POTest_107968_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100416,2,EA,8.15,726404011410,1 Gallon Shrub,579.35
107381,00003,POTest_107381_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100412,1,EA,8.15,726404011649,1 Gallon Shrub,46.65
107567,00003,POTest_107567_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100414,4,EA,8.15,726404011649,1 Gallon Shrub,178.6
107968,00003,POTest_107968_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100416,2,EA,8.15,726404011649,1 Gallon Shrub,579.35
108002,00003,POTest_108002_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100417,1,EA,8.15,726404011649,1 Gallon Shrub,756.85
107456,00003,POTest_107456_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100413,2,EA,8.15,726404011762,1 Gallon Shrub,508.25
107625,00003,POTest_107625_00003,20100429,2421 OLD HUMES RD. HWY 14,JANESVILLE,WI,53545-0392,10301,20100415,2,EA,8.15,726404011762,1 Gallon Shrub,510.65
