STDT||||||00275|00269|286951|ORIG|1|ARMASSQT|ARMASSQT|729094159936||005618960||1.85|EACH|QT ARMERIA|||20||20||20160329||||
STDT||||||00275|00269|286951|ORIG|2|AQUAS2.5|AQUAS2.5|729094158700||005619109||3.51|EACH|2.5QT AQUILEGIA|||48||48||20160329||||
STDT||||||00275|00269|286951|ORIG|3|DIAAS2.5|DIAAS2.5|729094158809||005619137||3.51|EACH|2.5QT DIANTHUS PINKS|||24||24||20160329||||
STDT||||||00275|00269|286951|ORIG|4|PHSAS2.5|PHSAS2.5|729094021172||005651589||3.51|EACH|2.5QT PHLOX SUBULATA|||24||24||20160329||||
STDT||||||00275|00269|286951|ORIG|5|HOSAS2.5|HOSAS2.5|729094044515||005651644||3.51|EACH|2.5QT HOSTA|||36||36||20160329||||
STDT||||||00275|00269|286951|ORIG|6|GRCAS2.5|GRCAS2.5|729094178869||005676147||3.77|EACH|2.5QT CALAMAGROSTIS|||24||24||20160329||||
STDT||||||00275|00269|286951|ORIG|7|DIAASRQ|DIAASRQ|729094178722||005676162||2.06|EACH|QT DIANTHUS SUPER TRPR|||100||100||20160329||||
STDT||||||00275|00269|286951|ORIG|8|GRFAS2.5|GRFAS2.5|729094178906||005676199||3.77|EACH|2.5QT FESCUE|||24||24||20160329||||
STDT||||||00275|00269|286951|ORIG|9|BELAS2.5|BELAS2.5|729094178982||005684282||3.51|EACH|2.5QT BELLIS|||36||36||20160329||||
STDT||||||00275|00269|286951|ORIG|10|PRIASSQT|PRIASSQT|729094178272||005686309||1.85|EACH|QT PRIMULA|||20||20||20160329||||
STDT||||||00275|00269|286951|ORIG|11|DIAFS2.5|DIAFS2.5|729094180220||550016355||3.51|EACH|2.5QT DIANTHUS FIRST SCENT|||48||48||20160329||||
STDT||||||00275|00269|286951|ORIG|12|DIAKM2.5BHG|DIAKM2.5BHG|729094312317||550270749||3.98|EACH|2.5QT BHG DIANTHUS KAHORI|||48||48||20160329||||
