CUSTOMER                      ,PAYEE                         ,PROC/PAY DATE       ,EFFECT/GOOD FUNDS/CH,CHECK/PAYMENT TRACE NUMBER    ,TOTAL CRED
SEARS HOLDINGS MANAGEMENT CORP,COLOR INK INC SBT             ,20100915            ,20100915            ,'771527961                    ,0009238.36

INVOICE DATE                  ,INVOICE/CREDIT MEMO NUMBER    ,PO NUMBER           ,OUTBOUND-FROM PARTY ,RETURN GOODS AUTH NUMBER ,STORE NUMBER   ,NET AMOUNT,ADJUSTMENT,GROSS AMOUNT   ,ORIGINAL INVOICE NUMBER  ,ADJUSTMENT REASON        ,NOTES,DOCUMENT DATE                 ,OTHER DISC AMT      ,DEPT NUMBER         
20100906                      ,'                             ,'0020100907         ,                    ,                         ,03814          ,0000027.92,0000000000,000000000027.92,                         ,                         ,,20100906                      ,0000000000,'043                
20100907                      ,'                             ,'0020100908         ,                    ,                         ,03814          ,0000006.64,0000000000,000000000006.64,                         ,                         ,,20100907                      ,0000000000,'043                
20100909                      ,'                             ,'0020100910         ,                    ,                         ,03814          ,0000009.08,0000000000,000000000009.08,                         ,                         ,,20100909                      ,0000000000,'043                
20100911                      ,'                             ,'0020100912         ,                    ,                         ,03814          ,0000021.76,0000000000,000000000021.76,                         ,                         ,,20100911                      ,0000000000,'043                
20100912                      ,'                             ,'0020100913         ,                    ,                         ,03814          ,0000000004,0000000000,000000000000004,                         ,                         ,,20100912                      ,0000000000,'043                
20100906                      ,'                             ,'0020100907         ,                    ,                         ,03907          ,0000023.25,0000000000,000000000023.25,                         ,                         ,,20100906                      ,0000000000,'043                
20100907                      ,'                             ,'0020100908         ,                    ,                         ,03907          ,00000031.5,0000000000,0000000000031.5,                         ,                         ,,20100907                      ,0000000000,'043                
20100908                      ,'                             ,'0020100909         ,                    ,                         ,03907          ,0000015.75,0000000000,000000000015.75,                         ,                         ,,20100908                      ,0000000000,'043                
20100909                      ,'                             ,'0020100910         ,                    ,                         ,03907          ,0000031.75,0000000000,000000000031.75,                         ,                         ,,20100909                      ,0000000000,'043                
20100910                      ,'                             ,'0020100911         ,                    ,                         ,03907          ,0000033.75,0000000000,000000000033.75,                         ,                         ,,20100910                      ,0000000000,'043                
20100911                      ,'                             ,'0020100912         ,                    ,                         ,03907          ,0000025.89,0000000000,000000000025.89,                         ,                         ,,20100911                      ,0000000000,'043                
20100912                      ,'                             ,'0020100913         ,                    ,                         ,03907          ,0000039.75,0000000000,000000000039.75,                         ,                         ,,20100912                      ,0000000000,'043                
20100906                      ,'                             ,'0020100907         ,                    ,                         ,04026          ,0000000085,0000000000,000000000000085,                         ,                         ,,20100906                      ,0000000000,'043                
20100907                      ,'                             ,'0020100908         ,                    ,                         ,04026          ,0000044.75,0000000000,000000000044.75,                         ,                         ,,20100907                      ,0000000000,'043                
20100908                      ,'                             ,'0020100909         ,                    ,                         ,04026          ,0000080.75,0000000000,000000000080.75,                         ,                         ,,20100908                      ,0000000000,'043                
20100909                      ,'                             ,'0020100910         ,                    ,                         ,04026          ,0000095.75,0000000000,000000000095.75,                         ,                         ,,20100909                      ,0000000000,'043                
20100910                      ,'                             ,'0020100911         ,                    ,                         ,04026          ,0000095.25,0000000000,000000000095.25,                         ,                         ,,20100910                      ,0000000000,'043                
20100911                      ,'                             ,'0020100912         ,                    ,                         ,04026          ,0000094.25,0000000000,000000000094.25,                         ,                         ,,20100911                      ,0000000000,'043                
20100912                      ,'                             ,'0020100913         ,                    ,                         ,04026          ,0000060.25,0000000000,000000000060.25,                         ,                         ,,20100912                      ,0000000000,'043                
20100906                      ,'                             ,'0020100907         ,                    ,                         ,04048          ,0000000002,0000000000,000000000000002,                         ,                         ,,20100906                      ,0000000000,'043                
20100912                      ,'                             ,'0020100913         ,                    ,                         ,04048          ,0000000006,0000000000,000000000000006,                         ,                         ,,20100912                      ,0000000000,'043                
20100906                      ,'                             ,'0020100907         ,                    ,                         ,04051          ,0000006.64,0000000000,000000000006.64,                         ,                         ,,20100906                      ,0000000000,'043                
20100908                      ,'                             ,'0020100909         ,                    ,                         ,04051          ,0000006.64,0000000000,000000000006.64,                         ,                         ,,20100908                      ,0000000000,'043                
